"Title","Authors","Editors","YearPublished","URL","DateAdded","Access type","Pub ID"

"A Calendar To the Feet of Fines For London and Middlesex: Volume 1, Richard I - Richard III","","Hardy, W J;Page, W","1892","https://www.british-history.ac.uk/feet-of-fines-london-middx/vol1","2008-04-10T23:00:00","Free content","805"
"A Calendar To the Feet of Fines For London and Middlesex: Volume 2, Henry VII - 12 Elizabeth","","Hardy, W J;Page, W","1893","https://www.british-history.ac.uk/feet-of-fines-london-middx/vol2","2008-04-10T23:00:00","Free content","806"
"A Collection of the State Papers of John Thurloe, Volume 1, 1638-1653","","Birch, Thomas","1742","https://www.british-history.ac.uk/thurloe-papers/vol1","2007-04-16T23:00:00","Free content, Free page scans","609"
"A Collection of the State Papers of John Thurloe, Volume 2, 1654","","Birch, Thomas","1742","https://www.british-history.ac.uk/thurloe-papers/vol2","2007-05-17T23:00:00","Free content, Free page scans","610"
"A Collection of the State Papers of John Thurloe, Volume 3, December 1654 - August 1655","","Birch, Thomas","1742","https://www.british-history.ac.uk/thurloe-papers/vol3","2007-05-17T23:00:00","Free content, Free page scans","611"
"A Collection of the State Papers of John Thurloe, Volume 4, Sept 1655 - May 1656","","Birch, Thomas","1742","https://www.british-history.ac.uk/thurloe-papers/vol4","2007-06-21T23:00:00","Free content, Free page scans","612"
"A Collection of the State Papers of John Thurloe, Volume 5, May 1656 - January 1657","","Birch, Thomas","1742","https://www.british-history.ac.uk/thurloe-papers/vol5","2007-05-31T23:00:00","Free content, Free page scans","613"
"A Collection of the State Papers of John Thurloe, Volume 6, January 1657 - March 1658","","Birch, Thomas","1742","https://www.british-history.ac.uk/thurloe-papers/vol6","2007-05-31T23:00:00","Free content, Free page scans","614"
"A Collection of the State Papers of John Thurloe, Volume 7, March 1658 - May 1660","","Birch, Thomas","1742","https://www.british-history.ac.uk/thurloe-papers/vol7","2007-06-21T23:00:00","Free content, Free page scans","615"
"A Descriptive Catalogue of Ancient Deeds: Volume 1","","Lyte, H C Maxwell","1890","https://www.british-history.ac.uk/ancient-deeds/vol1","2007-10-25T23:00:00","Free content","733"
"A Descriptive Catalogue of Ancient Deeds: Volume 2","","Lyte, H C Maxwell","1894","https://www.british-history.ac.uk/ancient-deeds/vol2","2007-10-25T23:00:00","Free content","734"
"A Descriptive Catalogue of Ancient Deeds: Volume 3","","Lyte, H C Maxwell","1900","https://www.british-history.ac.uk/ancient-deeds/vol3","2007-10-25T23:00:00","Free content","735"
"A Descriptive Catalogue of Ancient Deeds: Volume 4","","Lyte, H C Maxwell","1902","https://www.british-history.ac.uk/ancient-deeds/vol4","2007-11-02T00:00:00","Free content","736"
"A Descriptive Catalogue of Ancient Deeds: Volume 5","","Lyte, H C Maxwell","1906","https://www.british-history.ac.uk/ancient-deeds/vol5","2007-11-02T00:00:00","Free content","737"
"A Descriptive Catalogue of Ancient Deeds: Volume 6","","Lyte, H C Maxwell","1915","https://www.british-history.ac.uk/ancient-deeds/vol6","2007-11-02T00:00:00","Free content","738"
"A Dictionary of London","Harben, Henry A","","1918","https://www.british-history.ac.uk/no-series/dictionary-of-london","2003-09-25T23:00:00","Free content","3"
"A History of the County of Bedford: Volume 1","","","1904","https://www.british-history.ac.uk/vch/beds/vol1","2005-06-29T23:00:00","Free content","251"
